"Name","Latitude","Longitude","Day","Stay_Time","Description"
"藍湖溫泉 (Blue Lagoon)",63.8804,-22.4495,"Day 1","2.5小時","富含矽泥與地熱海水，舒緩飛行疲勞"
"哈爾格林姆教堂 (Hallgrímskirkja)",64.1420,-21.9266,"Day 1","45分鐘","雷克雅維克幾何美學教堂地標，可登頂俯瞰彩虹屋頂"
"水簾洞瀑布 (Seljalandsfoss)",63.6156,-19.9885,"Day 2","1小時","可繞至瀑布後方水幕，必穿全套防水衣褲"
"彩虹瀑布 (Skógafoss)",63.5321,-19.5113,"Day 2","1小時","氣勢磅礡，大晴天極易拍到濃郁雙彩虹"
"黑沙灘 (Reynisfjara)",63.4057,-19.0716,"Day 2","1.5小時","壯觀六角玄武岩牆與海蝕柱。🚨 防瘋狗浪警告！"
"羽毛峽谷 (Fjaðrárgljúfur)",63.7713,-18.1718,"Day 2","1小時","深達100米的夢幻綠苔巨龍峽谷"
"傑古沙龍冰河湖 (Jökulsárlón)",64.0784,-16.2306,"Day 2","2小時","瓦特納冰川脫落的藍色巨型千年浮冰湖"
"鑽石沙灘 (Diamond Beach)",64.0440,-16.1775,"Day 2","1小時","浮冰被浪潮沖上純黑火山沙灘，閃耀如晶瑩鑽石"
"阿克雷利小鎮 (Akureyri)",65.6835,-18.0878,"Day 3","2小時","北部首都，特色「愛心紅綠燈」與美麗埃亞峽灣景色"
"百年 Brynja 冰淇淋",65.6766,-18.0898,"Day 3","30分鐘","冰島最著名古法軟冰淇淋"
"眾神瀑布 (Goðafoss)",65.6828,-17.5502,"Day 4","1小時","半月形神聖瀑布，冰島改信基督教歷史聖地"
"黛堤瀑布 (Dettifoss)",65.8147,-16.3846,"Day 4","1小時","全歐洲水流量最大瀑布，《普羅米修斯》開場取景地"
"克拉夫拉火山 Viti 火口湖 (Krafla)",65.7171,-16.7576,"Day 4","45分鐘","直徑 300 米寶藍色火口湖"
"米湖 Hverir 地熱區",65.6415,-16.8073,"Day 4","1小時","沸騰泥漿池與強烈硫磺蒸氣，宛如火星異世界"
"西格夫德 (Siglufjörður)",66.1508,-18.9100,"Day 5","2小時","色彩鮮豔的鯡魚漁港小鎮，峽灣景色壯麗"
"峽灣出海賞鯨 (Whale Watching)",65.6835,-18.0878,"Day 5","3小時","觀賞座頭鯨拍水與打尾擺"
"埃伊斯塔德 (Egilsstaðir)",65.2669,-14.3948,"Day 6","1.5小時","冰島東部樞紐城鎮"
"拉加爾湖 (Lagarfljót Lake)",65.1833,-14.5833,"Day 6","1小時","傳說有水怪棲息的靜謐狹長湖泊"
"塞濟斯菲厄澤 (Seyðisfjörður)",65.2598,-14.0101,"Day 7","2小時","電影《白日夢冒險王》滑板場景小鎮，彩虹步道與藍教堂"
"金字塔山 (Búlandstindur)",64.6644,-14.2808,"Day 7","45分鐘","陡峭角錐型玄武岩山峰"
"太陽航行者 (Sun Voyager)",64.1476,-21.9223,"Day 8","30分鐘","海岸邊維京船鋼雕藝術品"
"Harpa 音樂廳 (Harpa)",64.1504,-21.9327,"Day 8","1小時","蜂巢幾何彩色玻璃帷幕建築"
"百年羊肉熱狗 (Bæjarins Beztu Pylsur)",64.1484,-21.9378,"Day 8","30分鐘","柯林頓總統也加持過的冰島平價美食"
"辛格韋德利國家公園 (Þingvellir)",64.2559,-21.1297,"Day 9","1.5小時","歐亞與北美板塊大裂谷，世界第一個國會誕生地"
"史托克間歇泉 (Strokkur Geysir)",64.3104,-20.3024,"Day 9","45分鐘","每6-10分鐘爆發20-30米水藍色沸騰水柱"
"黃金瀑布 (Gullfoss)",64.3271,-20.1199,"Day 9","1小時","兩段式傾瀉入32米峽谷的史詩大瀑布"
"Kerið 火口湖",64.0413,-20.8851,"Day 9","45分鐘","鮮紅火山岩包圍的寶石綠火山湖"
"天空之鏡地熱溫泉 (Sky Lagoon)",64.1186,-21.9486,"Day 10","2.5小時","無邊際北大西洋海景池與7步養生儀式"
"教堂山與瀑布 (Kirkjufell)",64.9275,-23.3072,"Day 10","1.5小時","獨立草帽造型角錐山峰，《權力的遊戲》箭頭山取景地"
"凱夫拉維克國際機場 (KEF)",63.9850,-22.6056,"Day 11","2小時","07:40 清晨班機，建議 04:30 抵達辦理托運與退稅"
